面積,周長,長軸長度,短軸長度,偏心率,凸殼面積,延伸比率,米種類
14505,492.682007,205.4121399,90.7625504,0.897086084,14834,0.58295155,1
11026,425.01001,179.9587708,79.0526276,0.898349285,11185,0.55861789,2
11941,434.803986,174.2298889,89.4745254,0.858063936,12249,0.75413668,2
12440,434.804993,173.3927917,92.6904831,0.845124602,12716,0.6803391,2
12495,443.678009,184.9876709,87.1301804,0.882130384,12690,0.74260074,2
11862,436.299988,177.2002106,86.4449921,0.872934222,12146,0.76155627,2
12103,456.36499,189.7859344,82.7607803,0.899910629,12483,0.62905407,2
14458,475.044006,196.9861145,93.9998932,0.878799915,14669,0.60189003,1
11973,436.183014,177.1341705,87.4583206,0.869609237,12197,0.59888953,2
14683,493.571991,209.0519714,90.5843277,0.901244879,14947,0.70219988,1
14115,486.272003,207.5510406,87.7810898,0.906158924,14422,0.60081726,1
10576,417.019989,175.3908234,77.4555893,0.897203624,10729,0.56592464,2
14096,476.95401,198.7421875,91.3667068,0.888061464,14346,0.59931976,1
13722,482.342987,202.278183,87.753891,0.900995851,14189,0.60566735,1
11181,420.412994,171.0338287,84.8756943,0.868179142,11406,0.79241675,2
13846,479.587006,197.0045929,90.9155045,0.887145817,14200,0.71755803,1
12005,440.265015,180.6821136,85.7372284,0.880244851,12319,0.60302389,2
16258,518.77002,214.2864685,97.3790054,0.890780509,16551,0.70757717,1
10561,417.933014,172.8907166,79.5229034,0.887939394,10804,0.64791411,2
10246,406.371002,163.8946991,81.5082169,0.867566824,10655,0.70710838,2
9322,385.415985,157.3514557,76.3523407,0.874384105,9566,0.63653123,2
11748,446.695007,190.2133179,79.8895569,0.907524228,11926,0.80976015,2
13501,472.483002,198.0720367,87.6896133,0.896661997,13787,0.63402838,1
12692,456.792999,181.2328186,91.1280441,0.86438936,13147,0.78355354,2
11906,433.855988,174.2997894,88.2526093,0.862341821,12179,0.62084788,2
10150,405.737,164.7185516,80.2642441,0.87324518,10338,0.59270072,2
11027,422.389008,172.8674316,82.6650696,0.878251433,11350,0.78183496,2
9127,381.878998,160.804657,72.8446579,0.891510069,9260,0.5895614,2
14093,488.597992,204.3924561,89.1596069,0.89984113,14463,0.58110672,1
12907,465.342011,195.6549683,84.8821793,0.900991857,13151,0.57333869,1
14002,490.570007,209.3342743,86.1463089,0.911398411,14336,0.65690827,1
10777,409.27301,165.1380157,84.5802154,0.858878732,10987,0.80648059,2
12239,432.298004,168.4900818,94.2542191,0.828894377,12489,0.68259901,2
13117,460.574005,192.404068,87.6289902,0.890265226,13575,0.78450954,1
15557,509.022003,211.933548,94.7585983,0.894476652,16075,0.64311701,1
9853,395.501007,159.9161224,80.057785,0.865665078,10102,0.60196728,2
14317,499.110992,206.7794189,89.8253403,0.900719225,14815,0.80423546,1
12071,441.179993,178.0411987,87.7705154,0.87004137,12442,0.7380166,2
15401,499.264008,202.6498871,97.7685013,0.875923336,15760,0.61732405,1
12061,432.688995,174.2027893,90.0654297,0.855976403,12378,0.62801355,2
15773,515.794006,219.4337616,92.621048,0.906553388,16089,0.70541143,1
13654,477.929993,199.3771515,87.6778336,0.898115993,13914,0.57575375,1
16263,546.562012,230.959549,91.6509247,0.917893529,16796,0.57123286,1
14368,491.562988,211.2970734,87.2080154,0.910854757,14596,0.62442416,1
10171,400.444,165.2134705,79.2173233,0.877550244,10339,0.62333763,2
15967,511.61499,211.6907806,96.9752274,0.888901412,16329,0.58667696,1
12071,438.700012,178.7846069,87.5031204,0.872040808,12437,0.64536995,2
12349,452.009003,187.9687347,84.5486526,0.893128455,12646,0.58576036,2
13109,484.993012,204.728302,82.8482361,0.914461017,13497,0.52511615,1
14788,480.962006,199.0625458,95.5379181,0.877301753,15044,0.65750742,1
11247,418.082001,174.7965393,82.5759582,0.881377935,11407,0.78826743,2
16582,532.357971,223.3588409,95.7497177,0.903455853,17089,0.71431035,1
16933,521.921997,221.3329773,98.0982971,0.896414876,17212,0.77674311,1
15105,503.291992,215.5826721,89.7966766,0.909121931,15327,0.60047704,1
10588,410.936005,169.8278809,80.4187622,0.88077718,10783,0.78377378,2
10692,410.252991,170.1792297,80.288887,0.881710887,10863,0.63079643,2
13562,474.218994,194.6127625,90.6689758,0.884840369,13871,0.71333897,1
13533,473.932007,196.1175537,88.9167938,0.891314685,13897,0.60455662,1
13002,472.473999,198.0772705,85.7991714,0.901317,13432,0.69473684,1
15043,498.299011,206.0117035,94.7666855,0.887915671,15414,0.5868836,1
13049,469.537994,196.4661713,85.9948425,0.899117112,13409,0.72700429,2
13269,485.61499,207.1224518,83.3239746,0.915510833,13741,0.7147705,1
15486,492.694,204.3721313,97.6780014,0.878391445,15688,0.60116458,1
14009,481.97699,198.5250854,91.0632324,0.888591766,14455,0.68420023,2
15107,488.865997,205.21521,94.3698196,0.887992561,15322,0.78723294,1
12642,462.808991,198.4047089,81.7451706,0.91117835,12878,0.60598218,2
14656,494.311005,206.0200653,91.7309723,0.895404994,15072,0.61543632,1
11443,421.671997,173.6322021,84.6323471,0.873165905,11644,0.63378566,2
13837,483.593994,204.3109283,87.2892532,0.904139519,14139,0.56942385,1
11564,428.083008,171.9387207,86.8431091,0.863071501,11839,0.61674666,2
13925,478.290008,196.5747681,91.4311447,0.885246873,14323,0.66277963,1
12960,460.867004,191.5177002,86.7977905,0.891403615,13211,0.58823532,2
13853,471.640991,195.2124939,91.291542,0.883912563,14213,0.65332013,1
11743,432.546997,175.7979279,86.1815338,0.87159276,12077,0.7332043,2
12120,439.713989,181.697937,85.9925384,0.880916357,12335,0.60253543,2
11689,434.877014,183.5699921,81.7642059,0.895325899,11856,0.57231688,2
14837,499.832001,210.0672455,91.2686462,0.900684655,15263,0.68009716,1
14295,489.214996,203.3018951,90.6099548,0.895186543,14660,0.6066972,1
15035,486.653015,198.2198334,97.8574982,0.869642675,15279,0.6237554,1
10759,401.927002,158.9398651,87.4795227,0.834905148,10955,0.619223,2
10381,414.187988,174.7446289,77.0795517,0.897458792,10556,0.60728914,2
12199,438.062988,178.8557587,88.1027985,0.870260715,12496,0.78334296,2
13104,476.989014,202.4251099,83.6132889,0.910704792,13464,0.5388158,1
15252,502.591003,211.6311646,92.1961594,0.900118351,15495,0.57446325,1
11690,432.519012,183.0266266,82.307724,0.893177867,11846,0.57891351,2
10037,395.339996,164.2431488,78.4997635,0.878387868,10210,0.76489866,2
15936,522.767029,224.6175079,91.1237412,0.914013386,16298,0.60908121,1
14680,495.444,206.7537537,91.296463,0.897226334,15091,0.61159021,1
9638,398.911987,168.1098328,73.4651413,0.89945823,9798,0.72575301,2
15141,505.42099,209.5935974,93.0923767,0.895949185,15559,0.56639981,1
13002,460.127014,191.4242096,87.7746353,0.888676524,13325,0.67945236,1
11377,456.45401,200.8426056,72.3511658,0.932860374,11573,0.75224811,1
12188,435.860992,182.0326691,85.7811737,0.882004738,12363,0.76577032,2
12045,438.394012,182.4355774,85.0350571,0.884726763,12276,0.73128527,2
14746,504.313995,220.3434448,85.9315796,0.920819402,14995,0.79751217,1
