電視廣告,廣播廣告,社群媒體廣告,網紅廣告,銷售額
93.0,25.64704705,5.12437604,一萬到十萬,334.542585
79.0,28.86285965,1.487848366,小於一萬,283.111546
30.0,4.32853568,0.477257281,一萬到十萬,102.350794
36.0,15.82644174,1.740744439,小於一萬,127.54666
33.0,16.56795456,3.220240342,小於一萬,117.856095
52.0,31.47852666,8.214623871,十萬到百萬,184.032223
34.0,16.00345822,5.979958691,一萬到十萬,117.576792
17.0,1.16154776,0.126207259,小於一萬,60.62367
49.0,10.06762616,1.729667405,大於百萬,169.008113
14.0,0.14867609,2.597693107,一萬到十萬,50.648758
21.0,4.19229888,1.011604124,一萬到十萬,75.34114
95.0,26.52648147,7.958528174,一萬到十萬,336.369157
49.0,18.91431788,0.747304256,大於百萬,172.252876
30.0,21.09502383,7.972159086,十萬到百萬,108.298324
37.0,8.8235251,3.405839489,十萬到百萬,132.549615
51.0,16.74509293,1.373291629,一萬到十萬,184.895009
64.0,12.6264151,1.734419715,一萬到十萬,232.36027
14.0,7.52870708,0.62760563,小於一萬,54.689369
89.0,26.23719393,2.72964696,大於百萬,316.058985
26.0,13.93983343,0.613425435,一萬到十萬,94.675293
38.0,22.37705463,5.517499206,小於一萬,134.188709
87.0,35.10610721,7.594133849,十萬到百萬,312.35126
75.0,21.56510793,6.507939785,一萬到十萬,267.852749
87.0,22.69202611,2.513637746,大於百萬,309.604234
27.0,3.34902288,0.783864614,十萬到百萬,93.195713
84.0,31.26640836,8.080731556,小於一萬,299.099052
31.0,17.93169575,6.166019182,十萬到百萬,109.823207
43.0,23.11923457,2.99421459,十萬到百萬,153.556557
95.0,30.79811267,4.432037098,大於百萬,338.149552
24.0,10.62179399,1.086533803,大於百萬,86.879181
24.0,14.37081327,0.126918813,一萬到十萬,87.319819
85.0,32.27082677,1.256186655,小於一萬,300.048675
40.0,8.58840726,3.068645816,一萬到十萬,140.161547
85.0,31.13707294,7.574485845,小於一萬,304.783007
72.0,19.46438929,1.767531142,小於一萬,258.017837
94.0,16.78014184,2.965429418,小於一萬,334.786714
14.0,11.79752103,0.279324759,大於百萬,52.319748
