ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
2019-01-02,16775306,1182131473,71.4,71.4,69.9,70.1,-0.7,7968
2019-01-03,36659461,2526323765,69.0,69.4,68.5,68.9,-1.2,17345
2019-01-04,37313571,2520135828,68.2,68.2,67.0,67.6,-1.3,18110
2019-01-07,24084557,1661796863,68.7,69.4,68.3,69.3,1.7,11167
2019-01-08,18303188,1258685500,69.6,69.6,68.2,68.6,-0.7,8027
2019-01-09,31946504,2226173028,68.9,70.2,68.8,69.9,1.3,12390
2019-01-10,19041006,1318925953,69.8,69.8,68.9,69.3,-0.6,6868
2019-01-11,23895923,1666289347,69.8,70.2,69.4,69.4,0.1,8299
2019-01-14,14186528,978121932,69.3,69.7,68.6,68.7,-0.7,5838
2019-01-15,34095247,2391707840,69.5,70.6,69.5,70.3,1.6,13090
2019-01-16,16978789,1190557739,69.8,70.5,69.8,70.2,-0.1,7213
2019-01-17,14229333,1001981116,70.7,70.9,70.0,70.4,0.2,6079
2019-01-18,13989609,987788089,70.5,70.8,70.3,70.8,0.4,5758
2019-01-21,13812012,982801352,71.3,71.4,70.9,71.2,0.4,6076
2019-01-22,9804658,692841394,71.2,71.2,70.3,70.7,-0.5,4294
2019-01-23,14218510,995321209,70.5,70.5,69.6,69.7,-1.0,6712
2019-01-24,21008129,1467646630,69.5,70.1,69.5,70.0,0.3,6872
2019-01-25,37127222,2619546538,70.2,70.9,70.2,70.7,0.7,9069
2019-01-28,25776596,1824318059,70.8,71.0,70.6,70.8,0.1,6705
2019-01-29,25436535,1781646390,69.9,70.6,69.8,69.9,-0.9,7599
2019-01-30,32866799,2303214538,69.9,70.5,69.8,70.0,0.1,7053
2019-04-01,171442589,13641328837,77.0,80.8,76.7,80.8,7.3,66838
2019-04-02,102552317,8433290573,81.8,83.6,81.3,82.0,1.2,44503
2019-04-03,42366852,3454135060,82.3,82.7,80.7,81.9,-0.1,21665
2019-04-08,50206746,4147309372,82.5,83.1,82.0,82.4,0.5,20339
2019-04-09,28246484,2328939888,82.8,82.9,82.0,82.5,0.1,11999
2019-04-10,34543224,2864109342,82.9,83.4,82.4,83.0,0.5,13695
2019-04-11,46823031,3932810310,83.6,84.7,83.3,83.8,0.8,19623
2019-04-12,60490750,5210724455,85.6,86.7,85.6,86.5,2.7,28080
2019-04-15,73767290,6541107310,87.8,89.8,87.2,89.3,2.8,32992
2019-04-16,82925870,7493403350,91.4,91.4,89.5,89.9,0.6,34763
2019-04-17,91422037,8363112050,91.0,92.7,90.1,91.8,1.9,44910
2019-04-18,161976542,15205017590,94.0,97.2,90.5,91.6,-0.2,75202
2019-04-19,85815908,7722931247,92.6,92.9,88.6,88.9,-2.7,44291
2019-04-22,42019217,3713703322,88.8,89.7,87.7,87.8,-1.1,23843
2019-04-23,66167792,5800876996,88.2,88.5,86.8,88.3,0.5,28446
2019-04-24,56834676,4979883410,89.0,89.1,86.1,86.9,-1.4,21783
2019-04-25,32202088,2786502667,86.0,87.2,85.8,86.8,-0.1,14711
2019-04-26,31649333,2759566093,87.4,87.8,86.5,87.4,0.6,13980
2019-04-29,33405276,2937313949,87.5,88.8,87.4,87.8,0.4,15147
2019-04-30,35517579,3085461156,88.0,88.0,86.1,86.9,-0.9,15610
2019-05-02,33606728,2916166643,86.5,87.3,86.3,86.9,0.0,10464
2019-05-03,33772491,2951238446,87.3,88.3,86.7,88.2,1.3,12243
2019-05-06,48477706,4139406310,85.7,86.2,84.8,84.9,-3.3,22863
2019-05-07,31286229,2707565265,85.3,87.3,85.3,86.6,1.7,13893
2019-05-08,24225963,2080351855,85.8,86.3,85.3,85.9,-0.7,10311
2019-05-09,37492080,3184908365,85.5,86.0,84.3,84.3,-1.6,15730
2019-05-10,26540533,2236652077,85.0,85.6,83.1,83.7,-0.6,13452
2019-05-13,36817422,3018294124,83.5,83.5,81.1,81.2,-2.5,18630
2019-05-14,58917717,4688254090,79.1,80.5,78.8,79.7,-1.5,24201
2019-05-15,73605827,5732804818,78.1,78.4,77.5,77.8,-1.9,28764
2019-05-16,62956947,4865352171,78.1,78.3,75.9,75.9,-1.9,25086
2019-05-17,50083428,3774307349,76.6,77.1,74.6,74.7,-1.2,21472
2019-05-20,31140335,2340545371,75.3,76.1,74.7,75.0,0.3,13575
2019-05-21,36661660,2749432998,75.3,75.4,74.6,75.0,0.0,14041
2019-05-22,30618177,2278642427,75.1,75.3,74.0,74.0,-1.0,14527
2019-05-23,63692307,4585352752,72.7,72.8,71.5,71.5,-2.5,28490
2019-05-24,40844359,2925562799,71.5,72.2,71.1,71.4,-0.1,18744
2019-05-27,25409320,1816209346,71.6,71.9,71.1,71.4,0.0,11329
2019-05-28,138134091,9842471605,71.3,72.0,71.2,71.2,-0.2,14561
